Segment,Year,BEV_sales,DV_sales,BEV_stock,DV_stock,BEV_VMT,DV_VMT,diesel,electricity,BEV_incentive,infrastructure_incentive,carbon_emissions
Day_cab,2020,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8456774282.044035,0.0,0.0,0.0,85920826705.5674
Day_cab,2021,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8432655612.199751,0.0,0.0,0.0,85675781019.94946
Day_cab,2022,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8384418272.511183,0.0,0.0,0.0,85185689648.71362
Day_cab,2023,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8312062262.96969,0.0,0.0,0.0,84450552591.77205
Day_cab,2024,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8215587583.583914,0.0,0.0,0.0,83470369849.21257
Day_cab,2025,100.0,90500.0,100.0,905900.0,5732884.944629411,51934204713.28453,8094193920.800901,15669214.644717148,8334230.821380037,136639.79217540502,82242455287.4262
Day_cab,2026,160.0,90440.0,260.0,905740.0,14905500.856036466,51925032097.37315,7948243993.718772,39904633.735279605,10337164.829739755,275581.37218519236,80767471161.99681
Day_cab,2027,450.0,90150.0,710.0,905290.0,40703483.10686885,51899234115.122406,7776051483.235749,105717400.21846639,21544280.465376858,553545.3053621431,79038480922.52505
Day_cab,2028,1800.0,88800.0,2510.0,903490.0,143895412.11019787,51796042186.119415,7570134017.126815,359571067.315132,59368738.66613541,1334198.5473721903,77022518446.3934
Day_cab,2029,10770.0,79830.0,13280.0,892720.0,761327120.6468067,51178610477.584854,7278340566.505946,1822234405.7409873,214943304.86807162,4244582.056006294,74479850378.7362
Day_cab,2030,49660.0,40940.0,62940.0,843060.0,3608277784.1499004,48331659814.09123,6705818220.811614,8307247436.641767,440267479.3710228,9075547.692320503,70440527910.83241
Day_cab,2031,41600.0,49000.0,104540.0,801460.0,5993157921.115843,45946779677.133224,6198147221.122541,13522534756.910717,0.0,0.0,66544477195.905136
Day_cab,2032,56690.0,33910.0,161230.0,744770.0,9243130396.226402,42696807202.03348,5608903075.844426,20333651550.04729,0.0,0.0,62073934868.40119
Day_cab,2033,72110.0,18490.0,233340.0,672660.0,13377113729.798857,38562823868.47478,4944181778.333284,28620960318.93451,0.0,0.0,56996019791.23039
Day_cab,2034,82680.0,7920.0,316020.0,589980.0,18117063002.01555,33822874596.270737,4239388379.6100416,37691382308.344696,0.0,0.0,51454749362.21387
Day_cab,2035,88310.0,2290.0,404230.0,501770.0,23174040811.656555,28765896786.62973,3527335574.467061,46902728261.942726,0.0,0.0,45616948279.200386
Sleeper,2020,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8765655012.554077,0.0,0.0,0.0,89059054927.54942
Sleeper,2021,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8745117462.184935,0.0,0.0,0.0,88850393415.79893
Sleeper,2022,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8704042361.448101,0.0,0.0,0.0,88433070392.31271
Sleeper,2023,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8642429710.339586,0.0,0.0,0.0,87807085857.0502
Sleeper,2024,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8560279508.86157,0.0,0.0,0.0,86972439810.03355
Sleeper,2025,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8457591757.015867,0.0,0.0,0.0,85929132251.28122
Sleeper,2026,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8334366454.794157,0.0,0.0,0.0,84677163180.70863
Sleeper,2027,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8190603602.20147,0.0,0.0,0.0,83216532598.36694
Sleeper,2028,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8026303199.246679,0.0,0.0,0.0,81547240504.34627
Sleeper,2029,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,7841465245.916714,0.0,0.0,0.0,79669286898.51381
Sleeper,2030,200.0,57400.0,200.0,575800.0,17450800.802259285,50240855509.72252,7633759221.391485,41206406.88251591,2524185.4735733382,156551.32109146265,77570449070.45084
Sleeper,2031,180.0,57420.0,380.0,575620.0,33156521.52429265,50225149789.00044,7426350428.798358,76857842.62736736,0.0,0.0,75472018512.82921
Sleeper,2032,840.0,56760.0,1220.0,574780.0,106449884.89378135,50151856425.63075,7211785749.519004,236537667.3394141,0.0,0.0,73330924939.4814
Sleeper,2033,2990.0,54610.0,4210.0,571790.0,367339356.8875596,49890966953.63626,6974767255.093305,781095982.8372881,0.0,0.0,71048208292.49242
Sleeper,2034,9510.0,48090.0,13720.0,562280.0,1197124935.034996,49061181375.48656,6672138826.731563,2437338795.125029,0.0,0.0,68330994627.62848
Sleeper,2035,22040.0,35560.0,35760.0,540240.0,3120203183.443987,47138103127.07231,6249232255.4052,6100155858.437602,0.0,0.0,64764082211.40107
Bus,2020,200.0,5800.0,200.0,71800.0,7757224.353000781,2784843542.7268596,393414715.31589586,15671064.146763636,0.0,0.0,4003628341.358702
Bus,2021,5630.0,370.0,5830.0,66170.0,226123089.88997012,2566477677.189945,362509715.471332,444357633.95605636,510476826.22666204,2398470.397318129,3862219271.4364195
Bus,2022,5790.0,210.0,11620.0,60380.0,450694734.9093492,2341906032.170632,330720395.13338244,872419310.6357994,488496742.3898879,4138469.509905668,3699664810.2546186
Bus,2023,5890.0,110.0,17510.0,54490.0,679144992.1052321,2113455774.9748192,298396878.0130185,1294845086.8372831,457460794.28214264,5295563.922742026,3517667641.7023
